route,voyages,mse,rmse,mae,mean_actual,mean_predicted,mean_delta,mean_congestion
Baltimore ↔ Charleston,7,1943.9740586199152,44.09052118789157,28.859780424261373,66.54071428571429,40.33958641746421,26.20112786825008,406.7569530727051
Baltimore ↔ Newark,11,974.2928400507832,31.213664316301973,19.34582175075401,46.22757575757575,30.123182963928137,16.104392793647616,717.9673165397063
Baltimore ↔ Norfolk,10,2049.5410655768464,45.27185732413512,32.73571349079225,43.12858333333334,11.246757939686043,31.881825393647297,904.7606347810982
Charleston ↔ Newark,8,337.3191364026814,18.366249927589504,11.161319444444445,52.58118055555556,45.30187525656589,7.279305298989664,140.10630982160012
Charleston ↔ Savannah,19,1011.4803295160516,31.803778541488615,20.46457141852819,29.141301169590644,9.221927145774538,19.919374023816104,458.1924934938468
Houston ↔ New Orleans,13,438.4639000192074,20.9395296035801,13.588480640360432,42.68696581196581,30.52117082584676,12.16579498611906,4506.208372332625
Jacksonville ↔ Newark,7,636.2906839393355,25.224802951447124,19.68478302750802,76.82035714285713,58.1498581209998,18.670499021857346,231.2407844332431
Miami ↔ Philadelphia,5,92.5722970784611,9.621449842849106,7.498416134116032,66.15083333333334,66.07785253602401,0.0729807973093201,780.2803736461307
New Orleans ↔ Tampa,6,8683.047234408157,93.18286985496935,59.83337026944454,92.7451388888889,32.91176861944435,59.83337026944454,1429.5531983866638
Newark ↔ Norfolk,28,1243.90753167741,35.26907330335474,23.4269412321372,43.45649801587302,20.684235264150605,22.77226275172241,293.4026921986894
Newark ↔ Philadelphia,16,318.0670016463905,17.83443303406056,12.602889196516756,28.756631944444443,16.153742747927687,12.602889196516756,1086.5949306294276
Newark ↔ Savannah,11,490.0412024122814,22.136874269243194,16.49154496411219,63.62666666666667,49.56737885673096,14.059287809935704,157.92606702430925
Norfolk ↔ Savannah,5,3114.596684996364,55.808571787820945,40.660410588643884,75.84322222222222,35.18281163357834,40.660410588643884,261.3017360724667
Philadelphia ↔ Savannah,6,759.9739357990255,27.56762477615773,23.01423040189969,67.57731481481481,46.96619768318981,20.611117131625008,753.7184598604985
